state,pattern,original_pattern,is_unseen
q0,aabb,aaba,True
q1,aaba,aabb,True
q2,aaba,aabc,True
q3,baaa,aacb,True
q4,caaa,aacc,True
q5,abacc,abac,True
q6,bbab,abba,True
q7,abbcc,abbc,True
q8,caaa,abca,True
q9,abccc,abcc,True
q10,aaaa,acaa,True
q11,acabc,acab,True
q12,acacc,acac,True
q13,acbbc,acbb,True
q14,acbcc,acbc,True
q15,cbaa,accb,True
q16,baaa,baab,True
q17,baaa,baac,True
q18,baba,babb,True
q19,baba,babc,True
q20,bacac,baca,True
q21,bacbc,bacb,True
q22,bbab,bbaa,True
q23,baba,bbab,True
q24,bbacc,bbac,True
q25,baba,bbba,True
q26,bbcac,bbca,True
q27,bbcbc,bbcb,True
q28,caaa,bcaa,True
q29,bcacc,bcac,True
q30,cbaa,bcba,True
q31,bcbbc,bcbb,True
q32,bccac,bcca,True
q33,caaa,caab,True
q34,caaa,caac,True
q35,cabbc,cabb,True
q36,cabcc,cabc,True
q37,cacac,caca,True
q38,baaa,cbaa,True
q39,cbbac,cbba,True
q40,cbbbc,cbbb,True
q41,cbcac,cbca,True
q42,cbcbc,cbcb,True
q43,ccca,cbcc,True
q44,ccabc,ccab,True
q45,cbaa,ccba,True
